maxtempF,mintempF,avgtempF,totalSnow,humid,wind,precip,q_avgtempF,q_avghumid,q_sumprecip,sunHour,GIS_ACRES,FRI,CEI,Cluster_Final,Cluster_Fractal,Cluster_Fractal_Re_2,Cluster_Fractal_Re_6,Cluster_Fractal_Re,Cluster_HighRisk_Re,Golden_Cluster
0.7780406932,-0.1641237195,0.654696756,-0.2091138559,-0.1499123707,-1.727067137,-0.5419678014,-0.2421832228,-1.457702291,-0.6192860867,0.1105168984,46040.148,4.86502969,58.52948797,4,4,0,3,3,1,1
1.273812345,0.4052920915,1.088042271,-0.2091138559,-1.524795323,-0.5832450373,-0.4670789666,0.3730993549,-0.5071644755,-0.0009595906291,1.416684412,48008.352,15.25582751,66.39523297,4,4,0,3,3,1,1
0.6550373887,0.8269421466,0.6040001801,-0.2091138559,0.1836120495,-0.6833560963,-0.5178101128,1.316644126,-1.296003811,-0.4759028474,0.1456179883,46233.918,6.571309681,78.95526882,4,4,0,3,3,1,1
2.075725555,1.761537023,2.06097569,-0.2091138559,-1.714618365,0.4455558458,-0.5419678014,1.267992045,-0.5476643263,-0.7052281998,1.157445058,48886.664,25.99442554,78.39641577,4,4,0,3,3,1,1
0.9010439977,0.6490585296,1.007368589,-0.2091138559,-1.390623214,0.2751540432,-0.3970216694,0.02167470096,-0.4434586758,-0.6203839675,1.50235142,45704.012,16.90282132,61.99577061,4,4,0,3,3,1,1
1.456608923,0.6659998265,1.238809479,-0.2091138559,-0.2223348162,-1.215861729,-0.5178101128,1.796779867,-1.129535458,-0.6855541749,0.9041067573,48920.391,7.071543045,85.33541219,4,4,0,3,3,1,1
1.883020378,2.179422346,1.946357344,-0.2091138559,-2.072918885,2.192174322,-0.4936524241,-0.8400354838,1.026396623,0.9954551133,0.3592767965,44211.086,47.19155582,50.1116001,4,4,0,3,3,1,1
1.704665587,1.555417911,1.520946945,-0.2091138559,-1.463045659,-0.5342545191,-0.5178101128,1.532181306,-0.9964445694,-0.7224429716,0.06931127109,46720.883,16.04212152,81.87268817,4,4,0,3,3,1,1
1.212652369,0.8043537508,1.115374338,-0.2091138559,-0.4415080066,-0.1934509139,-0.5419678014,1.134342075,-1.001332482,-0.5103323909,0.108990764,50213.82,10.35521561,76.57268817,4,4,0,3,3,1,1
